arr24,PC1,PC2,PC3,PC4,PC5,PC6
012,1.997170669403143,2.3863489999644725,0.29265942566174824,-0.39572473670382696,0.04456538597443848,0.42986056116961485
011,1.0378273941291174,2.1106448139646083,0.28801321473616975,-0.06652552542698908,0.021778985398205046,0.23645750476076982
014,-0.588496938576231,-0.6314829577186232,-0.9579533098409696,-0.381308011445085,-0.4216523210754125,0.6874038080579982
013,11.546856360963167,-2.732711813898517,-2.749997181399029,4.1080196426752895,-4.233183087654579,-1.4723179417052954
022,-2.5434820449888997,-1.2457521592039151,-0.4978252666002066,-0.2562329454582192,-0.43271185260515244,0.2430289856401014
024,-1.6617977546347193,-0.8928648169522576,-0.9818719228302418,-0.5586759619210295,-0.34671978032079254,0.3809280569107821
025,-4.935811182087538,-2.8725428126894728,-1.2749714947219446,0.9734534134508865,0.5387119906767054,0.4638076878694179
023,-2.608971353522904,-3.0052506196377204,-1.0787504186529795,-0.3071019730355527,-0.05625209767947303,0.3694864223547384
021,-1.5183198036928607,0.1780625978369327,-1.2154191970203516,0.303438137676423,0.1396383529566698,0.664325437507337
513,2.1030289555082713,-1.9326871968275303,0.18829618880894156,-1.3017129746962284,-0.4805736115955666,0.18184320272350293
033,-1.9578739311510984,-0.755321973235915,-0.10475150576557783,0.7402900969722815,0.16778678081872153,0.08230286133545112
032,-1.5213072412189979,0.021308320159998933,0.10947376602586334,0.3655173422669394,0.42144145942020617,0.016460704752776754
031,-2.3668090581727705,-0.622555420789674,-0.20984777587036557,0.2489386125211513,-0.40023496878901593,-0.3229249522659173
043,-0.6093227321689904,0.025997041743572015,2.022248335783766,0.5338098680972614,0.11051554929607692,-0.15835806103030117
044,0.38238036375813084,-1.062019658576966,1.0743271246103694,-0.17696007609537937,-0.5592490440317004,-0.36684277951896904
042,-2.268921894628656,-0.46369207872912377,1.7567276080798022,1.5740448528791413,0.3108465895594064,-0.3020952123767069
041,0.16450181171353376,0.6029830903405247,3.6971789369221906,0.44849077687409017,-0.09599858307613279,-0.3210004722736173
051,1.5962333609125299,0.9972770134522463,3.3950566841212315,-1.0074420145210337,0.028024998974929848,-0.6943767561999785
052,0.4026769440679895,0.534211053487304,2.452970136515065,0.15113128386077954,0.08189934031421738,-0.33812585104765747
061,2.9564739052214373,-1.17270101544303,0.6920033948076921,1.3207544028917224,0.22927598434832722,0.6515351070057198
062,1.27478005150666,-3.1724562232089966,1.0441564491587758,1.0278601280113953,0.35877271499361896,0.3951357915501452
073,0.08196656825657551,1.0472058348280526,0.5508945653245478,-0.07475913542506481,0.5689750425773586,-0.05730746692636791
071,-1.3777744655929511,-0.5971365412709143,1.5360860972209123,0.22005122382065,-0.002374678706482581,-0.5460319366307924
072,-0.7192690898967312,0.07450681273116162,0.9368716730435763,-0.15866744758983997,0.1549778364430679,-0.0651709370879584
