arr24,real_value,mean_prediction,median_prediction,desc
594,1.47402218330414,2.11687724235005,2.1207611513545,dml-diag_tabacco
601,1.47308043279885,1.96431263412962,2.00875511160279,dml-diag_tabacco
602,1.7480577136515,1.91415714474186,1.92079169663265,dml-diag_tabacco
604,0.809847748623259,1.40385070658532,1.40330719173674,dml-diag_tabacco
603,1.95611498554176,1.64826554565723,1.65278215054408,dml-diag_tabacco
611,3.7647902474005,2.67226785537883,2.59736654871046,dml-diag_tabacco
613,3.16558441558442,2.84773262883968,2.86084339745603,dml-diag_tabacco
612,2.45490981963928,2.47133176559449,2.45513125427527,dml-diag_tabacco
627,2.64655117304865,2.35829719578892,2.3771333146054,dml-diag_tabacco
621,1.3579511614056,1.81950785041033,1.83420991686748,dml-diag_tabacco
625,1.57016683022571,2.30199907242701,2.28425758137621,dml-diag_tabacco
624,1.28693994280267,2.35360095113385,2.33112455753677,dml-diag_tabacco
626,4.11547002220577,2.34126755991523,2.32826495168681,dml-diag_tabacco
623,1.88940092165899,2.37940079699941,2.40199228591211,dml-diag_tabacco
622,1.61834703591519,2.06708934110391,2.0512404210192,dml-diag_tabacco
634,2.25269343780607,1.6974830318643,1.74311974216602,dml-diag_tabacco
631,1.51133501259446,2.47653118010964,2.47699407831218,dml-diag_tabacco
633,1.83363148479428,2.04668348354445,2.05531455015483,dml-diag_tabacco
635,1.92546583850932,2.08590173668296,2.08868338362153,dml-diag_tabacco
632,2.12489490178094,1.85844611895055,1.85612630927217,dml-diag_tabacco
643,0.606980273141123,1.19466051070283,1.17394136031778,dml-diag_tabacco
642,0.782608695652174,2.02751688003608,2.02495917156651,dml-diag_tabacco
641,0.421674045962471,1.18065122643743,1.17073170729536,dml-diag_tabacco
651,0.72463768115942,1.64783948682104,1.65704409421331,dml-diag_tabacco
652,1.19331742243437,1.98528303634686,2.04395232663937,dml-diag_tabacco
653,0.780189959294437,1.79138578253495,1.78557911184958,dml-diag_tabacco
661,1.8465089440277,1.35315370399415,1.36262754947233,dml-diag_tabacco
663,2.23642172523962,1.71133863046959,1.71612876659542,dml-diag_tabacco
662,1.98999791623255,1.63168043103616,1.60957204317533,dml-diag_tabacco
678,1.18014578271434,1.33703028177519,1.3762005078056,dml-diag_tabacco
674,0.922570016474465,1.95868616216643,1.95911863873777,dml-diag_tabacco
675,1.51779049514805,1.56377062072795,1.57781023887153,dml-diag_tabacco
673,1.41231855629659,1.75554033933484,1.75042672658134,dml-diag_tabacco
672,1.46254985965431,1.79652399286844,1.79100325638926,dml-diag_tabacco
682,2.03700242945244,1.90593234174259,1.85406305319953,dml-diag_tabacco
681,1.55932203389831,2.04381009698562,2.02343030646832,dml-diag_tabacco
686,1.38067061143984,2.13845994846829,2.09990747571204,dml-diag_tabacco
684,1.36424248640886,1.8553862809033,1.81057896159796,dml-diag_tabacco
692,0.813967205379262,1.45611435978359,1.45148602381493,dml-diag_tabacco
691,1.24092718332943,0.902628065963686,0.882015223928095,dml-diag_tabacco
701,2.57660167130919,2.53418860508944,2.51490816317308,dml-diag_tabacco
702,3.36111858026351,2.21462377747441,2.20107345780081,dml-diag_tabacco
714,2.09504343382729,2.39494178982341,2.40594294950263,dml-diag_tabacco
712,2.17785843920145,1.93887997600179,1.94375839994531,dml-diag_tabacco
713,1.5618404390038,2.45390356003661,2.48579952257444,dml-diag_tabacco
715,1.36181575433912,1.78662814569917,1.82502594184844,dml-diag_tabacco
711,2.40080869345464,2.38132589462216,2.43754755908856,dml-diag_tabacco
723,0.815011372251706,1.90840461195511,1.88999403185518,dml-diag_tabacco
722,1.64968461911693,2.60793983551067,2.64147196772215,dml-diag_tabacco
721,1.30668716372022,2.50648086105679,2.52594392238955,dml-diag_tabacco
732,2.16036560033236,1.68984110195852,1.69135269862303,dml-diag_tabacco
733,2.08333333333333,2.36884685255193,2.3747767480522,dml-diag_tabacco
731,3.34297653487625,2.02311950605281,2.04475433346702,dml-diag_tabacco
744,0.369276218611521,1.5062555058659,1.51285197336628,dml-diag_tabacco
741,0.965319985698963,1.38165504053725,1.37562245220822,dml-diag_tabacco
743,0.694773409126796,0.966850605608821,0.935900373702777,dml-diag_tabacco
742,0.958258892317687,1.49413579653691,1.44286944469824,dml-diag_tabacco
751,0.692667815311788,1.07224831287143,1.07393998112186,dml-diag_tabacco
763,1.78979278269175,1.66031912863969,1.63506952105927,dml-diag_tabacco
762,2.64120816978245,2.24382835829783,2.21928439751995,dml-diag_tabacco
761,2.25176342919154,2.30492399420744,2.32491569448658,dml-diag_tabacco
774,1.00541376643465,1.57298709410113,1.57476706939864,dml-diag_tabacco
771,0.88948560879416,1.23550721317924,1.2145337853845,dml-diag_tabacco
772,0.874202290410001,0.830538670943526,0.812971645145602,dml-diag_tabacco
773,1.22745025106937,2.04973824701346,2.06058234551285,dml-diag_tabacco
775,0.563725490196078,0.780609797287267,0.776771029972258,dml-diag_tabacco
782,0.556496491652553,0.896174384339126,0.894941656128953,dml-diag_tabacco
783,0.507023522566703,0.744895178609229,0.732848175780547,dml-diag_tabacco
781,0.366881507188894,0.901178449468787,0.915288688526727,dml-diag_tabacco
784,0.392655040997806,0.84242483966947,0.838885759097141,dml-diag_tabacco
791,2.24331320103538,2.37864860213985,2.37182025947752,dml-diag_tabacco
793,2.93957539466522,2.42886333276874,2.42577482331176,dml-diag_tabacco
792,2.03427839179881,1.94538504880034,1.94419426593724,dml-diag_tabacco
801,2.13099341899091,3.02178181959158,3.04320052612043,dml-diag_tabacco
804,4.11575562700965,2.85659797968869,2.86725265883553,dml-diag_tabacco
802,3.05400372439479,1.92595002120694,1.92516846304628,dml-diag_tabacco
803,3.65425158116655,2.44904626541539,2.46516952911789,dml-diag_tabacco
812,3.41604350781781,1.757021874322,1.75639012422702,dml-diag_tabacco
811,0.723000451875283,1.27574495098693,1.27552456738394,dml-diag_tabacco
821,1.35064935064935,2.4187715769093,2.35042146826296,dml-diag_tabacco
822,0.93870789618995,1.54294816570837,1.52540483490895,dml-diag_tabacco
