,pc,var
0,1,0.31042604280096375
1,2,0.12044586854576649
2,3,0.09498546731447056
3,4,0.07187778186700207
4,5,0.04746906803702657
5,6,0.036041883631233056
6,7,0.029764623957709513
7,8,0.025354994744751374
8,9,0.022741363738666046
9,10,0.019392950050066096
