arr24,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
012,1.9971706694031437,2.3863489999644716,0.2926594256617477,-0.3957247367038264,0.04456538597443824,0.4298605611696158,-0.08926148241615502,-0.18326308479602516,0.09906912872790966,-0.04373133947622294
011,1.037827394129118,2.1106448139646075,0.2880132147361692,-0.06652552542698847,0.02177898539820486,0.23645750476076963,-0.14563092821734838,0.27326405280585325,-0.06206307516239204,-0.16730263578371152
014,-0.5884969385762313,-0.6314829577186228,-0.9579533098409696,-0.3813080114450836,-0.4216523210754125,0.6874038080579998,-0.12424700391729786,-0.6317385119927788,0.21354361403559266,-0.2420169771208475
013,11.546856360963172,-2.732711813898516,-2.7499971813990314,4.108019642675295,-4.233183087654575,-1.472317941705296,0.18710774524058377,-0.8581749247650283,-1.5784354142658141,0.21047830750493063
022,-2.543482044988901,-1.2457521592039151,-0.49782526660020665,-0.25623294545821856,-0.4327118526051526,0.24302898564010209,-0.01186643681343971,0.09444645792757966,-0.24385862890483043,-0.03281843642902366
024,-1.6617977546347205,-0.8928648169522572,-0.9818719228302416,-0.5586759619210294,-0.3467197803207929,0.380928056910784,0.10193701671858481,-0.13450544643098772,0.02881046730719503,0.10414929821207689
025,-4.935811182087541,-2.8725428126894714,-1.2749714947219437,0.9734534134508865,0.5387119906767065,0.46380768786941595,-0.7541366694967596,-0.5322356386218192,-0.2596383821833659,-0.254866592182536
023,-2.608971353522906,-3.005250619637719,-1.0787504186529784,-0.3071019730355512,-0.05625209767947323,0.3694864223547405,-0.9524940890187371,-0.2987668542924312,0.007588768602367098,0.03581243797668424
021,-1.5183198036928613,0.17806259783693212,-1.2154191970203518,0.3034381376764236,0.1396383529566708,0.6643254375073359,0.16114315731004092,0.34158526639822,-0.13958270669409797,0.1478819176114307
513,2.1030289555082717,-1.9326871968275297,0.18829618880893914,-1.301712974696229,-0.48057361159556605,0.1818432027235056,-0.24474167717703904,-0.1810443088949528,0.11270332817356041,0.047415479109546486
033,-1.9578739311510995,-0.7553219732359147,-0.10475150576557758,0.7402900969722818,0.167786780818722,0.08230286133544992,-0.3697268043506201,-0.008078929927111815,-0.01936239934347458,-0.021529206655650363
032,-1.521307241218998,0.021308320159999023,0.1094737660258635,0.36551734226693866,0.42144145942020617,0.016460704752775803,-0.33065814605270333,-0.2755896429890474,-0.21616958134156317,0.00386845544326295
031,-2.3668090581727714,-0.6225554207896739,-0.20984777587036524,0.24893861252115218,-0.4002349687890169,-0.32292495226591716,-0.7935959616494871,0.6817145488436688,-0.23137494357095564,-0.1766929652963338
043,-0.6093227321689905,0.02599704174357236,2.0222483357837673,0.5338098680972614,0.1105155492960774,-0.15835806103030273,-0.0693416987783661,0.04083386310219682,-0.3623249996179033,0.13903078199648533
044,0.38238036375813095,-1.0620196585769646,1.0743271246103723,-0.1769600760953785,-0.5592490440317023,-0.36684277951896666,-0.34898877347730345,0.2502727562425446,0.5975363991464785,-0.16556586840116394
042,-2.268921894628657,-0.46369207872912377,1.756727608079803,1.574044852879141,0.3108465895594076,-0.3020952123767108,-0.1796426628620341,0.7679195340470838,-0.10328572663971956,-0.06683469287664624
041,0.16450181171353428,0.6029830903405248,3.6971789369221923,0.44849077687409045,-0.09599858307613247,-0.32100047227362016,0.6770132487970365,0.4398641330321493,0.18377542906401514,-0.1013339764660955
051,1.5962333609125303,0.9972770134522458,3.3950566841212297,-1.0074420145210343,0.028024998974929063,-0.6943767561999777,0.15369557808660533,0.06003378963394986,0.13235833417071816,0.04133438421744228
052,0.4026769440679899,0.5342110534873041,2.4529701365150665,0.15113128386077912,0.08189934031421743,-0.33812585104765835,0.0978149342631411,0.04413093387459201,0.007471614065615613,0.09054007907805213
061,2.9564739052214373,-1.1727010154430288,0.6920033948076929,1.3207544028917237,0.22927598434832916,0.6515351070057178,0.053865831589569375,0.11037142120401282,0.5411128357633606,0.006082650048614163
062,1.2747800515066596,-3.172456223208995,1.0441564491587776,1.027860128011397,0.35877271499362134,0.3951357915501443,-0.20670612353775508,0.3223159128863156,0.36812466824026147,0.26444773561591195
073,0.08196656825657539,1.0472058348280522,0.5508945653245476,-0.07475913542506521,0.5689750425773583,-0.05730746692636819,-0.38561922040462543,-0.467415563244656,0.08732966503203624,-0.08627588273677607
071,-1.3777744655929514,-0.5971365412709138,1.5360860972209134,0.22005122382064957,-0.0023746787064830217,-0.5460319366307927,-0.28265925928499075,0.029588481672652562,0.06431931758073887,0.02016269897973717
072,-0.7192690898967313,0.07450681273116184,0.9368716730435767,-0.15866744758984022,0.15497783644306742,-0.06517093708795825,-0.37749038755879977,-0.3049607817921856,-0.2503208065579927,0.0005952398277709155
082,-1.5410237603922943,0.44214973303173716,-0.45349350674739,-0.0013052895741763988,0.06553477296740545,-0.03634288270495363,-0.41414567965081345,-0.4139583252145288,-0.05800208612103633,-0.11026820599795165
081,-2.448183584031344,-2.2116368612365833,-0.631374387674898,-0.03186601404050574,0.09412866129583866,0.18227337712490485,-1.081409378726584,-0.3276179473054495,-0.20145527375846575,0.008275140082365918
084,-2.8046379203590286,-0.45934045654046374,-1.2401543270392426,0.2626879256742082,0.2043276327902274,0.08906514868918343,-0.5691914793985806,-0.5886628267053546,-0.06544553264532167,-0.3224541204586678
083,-3.533770879020141,-1.8628118203681292,-0.8273152383822889,0.38902333185554633,-0.20993374458526481,-0.031260120497465155,-0.42621057787219824,-0.024405487134935733,-0.19435720593092345,-0.0028786562636551253
093,-1.766042847738272,-2.1221054717342662,2.4909047386791707,-0.12928468515222857,-0.5604710355854884,-0.7356445770516865,0.13301204408791917,0.3325015207475084,-0.2566627351088071,0.14704006899152247
092,-2.3828431935795957,-1.0668725666898284,1.8212324493136767,0.8830074296880895,-0.15316295228278726,-0.03171017659233281,0.17051968012612584,-0.07599067166896797,-0.06437075970351816,-0.16474029426077347
091,-0.41684976639075744,0.09318399838197731,2.8145487064034405,0.8059832781879196,-0.01852289548953251,-0.1363580263339198,0.18830554074852085,0.37112580505790566,-0.2237879963508161,0.07287043070263471
101,-2.665655492623978,-0.6170555379019075,-2.447457117466524,0.813061505886301,-0.010690462036617679,0.5960809990022421,-0.19366309164738732,-0.24150641034625323,0.3541489695036754,-0.18515329425980048
