dep,pop_0029,pop_0044,type,count
73,146410.356735937,228980.165140734,t1d_e101,32
73,146410.356735937,228980.165140734,t1d,349
74,296647.020216716,478379.449546051,t1d_e101,62
74,296647.020216716,478379.449546051,t1d,498
75,796808.02610608,1258387.54575758,t1d_e101,101
75,796808.02610608,1258387.54575758,t1d,1328
76,452226.695729757,678166.311901899,t1d_e101,83
76,452226.695729757,678166.311901899,t1d,944
77,563488.902270528,856524.967150576,t1d_e101,150
77,563488.902270528,856524.967150576,t1d,1219
78,550599.573052191,838180.893445643,t1d_e101,100
78,550599.573052191,838180.893445643,t1d,833
79,117541.942732938,181658.543739609,t1d_e101,26
79,117541.942732938,181658.543739609,t1d,245
80,202784.766358644,303735.796564023,t1d_e101,34
80,202784.766358644,303735.796564023,t1d,395
81,119366.096851317,184205.84585916,t1d_e101,32
81,119366.096851317,184205.84585916,t1d,201
82,85666.6444986431,132906.257781035,t1d_e101,23
82,85666.6444986431,132906.257781035,t1d,151
83,324220.081926263,509958.959224804,t1d_e101,75
83,324220.081926263,509958.959224804,t1d,593
84,185471.45479297,284836.43129325,t1d_e101,54
84,185471.45479297,284836.43129325,t1d,495
85,216484.430764709,336329.937216609,t1d_e101,40
85,216484.430764709,336329.937216609,t1d,373
86,154129.646527404,228693.780584012,t1d_e101,22
86,154129.646527404,228693.780584012,t1d,196
87,117837.116076344,178611.097575239,t1d_e101,19
87,117837.116076344,178611.097575239,t1d,235
88,110096.193954476,169722.706642335,t1d_e101,33
88,110096.193954476,169722.706642335,t1d,262
89,102993.611477747,159437.228628428,t1d_e101,26
89,102993.611477747,159437.228628428,t1d,235
90,49352.3268315615,74478.682231475,t1d_e101,12
90,49352.3268315615,74478.682231475,t1d,85
91,520403.196285677,783212.866563429,t1d_e101,133
91,520403.196285677,783212.866563429,t1d,1196
92,623909.701829842,987796.297816745,t1d_e101,116
92,623909.701829842,987796.297816745,t1d,1214
93,708386.835267927,1079155.84358807,t1d_e101,188
93,708386.835267927,1079155.84358807,t1d,1642
94,557568.294533947,856434.287029862,t1d_e101,129
94,557568.294533947,856434.287029862,t1d,1053
95,512260.500323948,775078.149494607,t1d_e101,127
95,512260.500323948,775078.149494607,t1d,1278
