,pc,var
0,1,0.5481225076293046
1,2,0.19933794455378143
2,3,0.13136760298992614
3,4,0.045329156908181206
4,5,0.029407907496209834
5,6,0.019369361785532987
6,7,0.01031232417339137
7,8,0.00787533679349068
8,9,0.005209986270181556
9,10,0.0022438554285690486
