arr24,pop_0029,pop_0044,type,count
522,11992.9272100691,18754.4381200508,t1d,24
523,21187.9099849653,32199.825381954,t1d,58
532,41619.1765088816,61742.8217254032,t1d,94
533,37588.5894113987,56625.5099000607,t1d,90
531,24961.5712983041,37667.649794074,t1d,53
543,163288.198824242,240377.19503067,t1d_e101,43
543,163288.198824242,240377.19503067,t1d,256
541,55400.4285052829,87610.7637488734,t1d_e101,11
541,55400.4285052829,87610.7637488734,t1d,115
544,22572.3690290068,35468.0163582371,t1d,39
542,24458.6724794297,37550.4037466853,t1d,54
552,12946.8504341354,20274.1704762539,t1d,25
553,27272.8643809004,41758.6640516952,t1d,49
551,16974.5861831288,26240.2117804125,t1d,55
563,89744.0824883031,138236.838898326,t1d_e101,16
563,89744.0824883031,138236.838898326,t1d,182
561,95718.0465554127,149207.973745497,t1d_e101,18
561,95718.0465554127,149207.973745497,t1d,201
562,47977.9133666833,73921.659769032,t1d_e101,11
562,47977.9133666833,73921.659769032,t1d,124
577,92431.0851865701,149049.397293959,t1d_e101,16
577,92431.0851865701,149049.397293959,t1d,169
575,28711.8429414475,44677.9888380739,t1d,40
576,28027.0303807006,44841.4290024723,t1d,64
573,74497.2336946981,117178.147160948,t1d_e101,22
573,74497.2336946981,117178.147160948,t1d,206
579,125376.582529172,193064.714645369,t1d_e101,31
579,125376.582529172,193064.714645369,t1d,301
581,6065.89542862018,9371.57400028652,t1d,13
584,10714.0939243831,17152.1594133713,t1d,14
583,33677.4532149086,51224.1534934204,t1d,41
592,55371.3407348204,84239.4505394848,t1d_e101,14
592,55371.3407348204,84239.4505394848,t1d,119
596,135121.53652109,201073.021945691,t1d_e101,45
596,135121.53652109,201073.021945691,t1d,294
591,81757.1895664034,122546.300923444,t1d_e101,19
591,81757.1895664034,122546.300923444,t1d,182
593,90276.1824036575,135044.073289752,t1d_e101,25
593,90276.1824036575,135044.073289752,t1d,203
595,524170.60485167,774304.909645586,t1d_e101,118
595,524170.60485167,774304.909645586,t1d,1081
594,130077.688853301,197350.474427088,t1d_e101,29
594,130077.688853301,197350.474427088,t1d,312
601,85491.0718461621,129194.591250955,t1d_e101,19
601,85491.0718461621,129194.591250955,t1d,144
602,46485.7348137476,72142.318591004,t1d,73
604,107037.310583945,164402.319636108,t1d_e101,20
604,107037.310583945,164402.319636108,t1d,211
603,65383.9655100439,99135.1135082453,t1d_e101,17
603,65383.9655100439,99135.1135082453,t1d,136
611,27026.174141504,40142.1551236275,t1d,55
613,24299.5193635149,37061.9961013741,t1d,40
612,32518.2581455249,49431.9251623209,t1d,77
627,140614.235864194,210981.998552795,t1d_e101,43
627,140614.235864194,210981.998552795,t1d,353
621,87690.5961339353,134890.925428059,t1d_e101,17
621,87690.5961339353,134890.925428059,t1d,181
625,46521.2366066849,70621.5725852347,t1d_e101,11
625,46521.2366066849,70621.5725852347,t1d,137
624,34423.7188461872,52775.6947007565,t1d,79
626,56046.7730712998,84260.6590744118,t1d_e101,16
626,56046.7730712998,84260.6590744118,t1d,113
623,55382.5862156248,82964.6305137549,t1d_e101,12
623,55382.5862156248,82964.6305137549,t1d,140
622,105065.400469172,159793.755048518,t1d_e101,25
622,105065.400469172,159793.755048518,t1d,280
634,42040.2959417683,67514.6766174396,t1d,59
631,6738.90611232088,10785.3072613608,t1d,13
633,23470.4395190054,37464.0462262949,t1d_e101,11
633,23470.4395190054,37464.0462262949,t1d,28
635,16656.4337942219,26441.2460423924,t1d,29
632,136006.828626896,201036.346571269,t1d_e101,21
632,136006.828626896,201036.346571269,t1d,172
643,100626.400424468,155586.386830394,t1d,215
642,18788.8350422633,29629.4111537453,t1d,40
641,90508.7923878936,146676.032039907,t1d,142
651,9305.70152084772,15108.7169927098,t1d,18
652,11771.6458672662,19089.2635842787,t1d,44
653,45495.3226555386,68702.5581156564,t1d,80
661,34553.7092050151,54839.6499304437,t1d_e101,17
661,34553.7092050151,54839.6499304437,t1d,120
663,17457.7318710127,27549.4711695615,t1d,62
662,96322.4012133707,145824.041723237,t1d_e101,28
662,96322.4012133707,145824.041723237,t1d,280
678,209559.507761937,310057.986771924,t1d_e101,39
678,209559.507761937,310057.986771924,t1d,355
674,39546.3572201058,62872.7064160212,t1d,67
675,51583.6928081807,81773.502642625,t1d,105
673,32451.648783308,51571.6997669534,t1d,52
672,76593.1128388087,121100.671123282,t1d_e101,19
672,76593.1128388087,121100.671123282,t1d,145
682,67680.030443726,105814.219645003,t1d_e101,12
682,67680.030443726,105814.219645003,t1d,154
681,21785.9065647176,34545.473762133,t1d,33
686,41090.8631572837,64354.9031332931,t1d,83
684,124086.13630418,192662.109356554,t1d_e101,42
684,124086.13630418,192662.109356554,t1d,231
692,89008.6949490729,137274.983156803,t1d_e101,19
692,89008.6949490729,137274.983156803,t1d,226
691,666983.61978202,995159.028163921,t1d_e101,144
691,666983.61978202,995159.028163921,t1d,1491
701,32463.4487198001,50410.2869004156,t1d,45
702,40495.5175952618,62256.3852740812,t1d,88
714,19053.262137098,29737.7343612973,t1d,31
712,49517.0268426687,76458.119044448,t1d,122
713,22155.6230632265,34320.8263002301,t1d,58
715,36793.6444563127,56390.5622228305,t1d,76
711,35892.186977368,55108.2520314941,t1d,166
723,96744.220317737,142665.334977903,t1d_e101,29
723,96744.220317737,142665.334977903,t1d,225
722,48299.1038958063,73691.5627380295,t1d,84
721,48497.7562297424,73117.6532221309,t1d,91
732,98480.7244278551,151944.599494233,t1d_e101,22
732,98480.7244278551,151944.599494233,t1d,241
733,12687.155727004,20127.0580213631,t1d,26
731,35242.4765810779,56908.5076251389,t1d,82
744,53663.7713780835,87383.7149878665,t1d_e101,13
744,53663.7713780835,87383.7149878665,t1d,83
741,101738.905510553,161872.019542054,t1d_e101,23
741,101738.905510553,161872.019542054,t1d,134
743,74584.1465035152,121987.414371284,t1d_e101,13
743,74584.1465035152,121987.414371284,t1d,137
742,66660.1968245642,107136.300644847,t1d_e101,13
742,66660.1968245642,107136.300644847,t1d,144
751,796808.02610608,1258387.54575758,t1d_e101,101
751,796808.02610608,1258387.54575758,t1d,1328
763,241696.752527376,358689.839805189,t1d_e101,43
763,241696.752527376,358689.839805189,t1d,451
762,137264.560074753,206470.01420405,t1d_e101,25
762,137264.560074753,206470.01420405,t1d,345
761,73265.3831276275,113006.457892659,t1d_e101,15
761,73265.3831276275,113006.457892659,t1d,148
774,50987.4134027793,78271.0659450711,t1d,102
771,136364.676889744,207496.630184334,t1d_e101,36
771,136364.676889744,207496.630184334,t1d,281
772,120140.892878737,180327.765976045,t1d_e101,51
772,120140.892878737,180327.765976045,t1d,297
773,69514.0738274327,104371.361177812,t1d_e101,12
773,69514.0738274327,104371.361177812,t1d,123
775,186481.845271834,286058.143867313,t1d_e101,41
775,186481.845271834,286058.143867313,t1d,416
782,81661.5922967827,124071.529436339,t1d_e101,15
782,81661.5922967827,124071.529436339,t1d,133
783,195832.639529972,302111.285473187,t1d_e101,31
783,195832.639529972,302111.285473187,t1d,302
781,110879.890839151,166428.989866477,t1d_e101,32
781,110879.890839151,166428.989866477,t1d,201
784,162225.450386285,245569.088669641,t1d_e101,22
784,162225.450386285,245569.088669641,t1d,197
791,35634.9328321734,54157.8165632159,t1d,62
793,19201.91859346,29721.383370234,t1d,40
792,62705.0913073047,97779.343806159,t1d_e101,15
792,62705.0913073047,97779.343806159,t1d,143
801,37139.5083491006,56904.1459380887,t1d,106
804,31056.9747975108,47882.807490505,t1d,58
802,118041.354367858,173423.805179883,t1d_e101,20
802,118041.354367858,173423.805179883,t1d,204
803,16546.9288441746,25525.0379555468,t1d,27
812,59595.6465071404,91929.8684988183,t1d_e101,20
812,59595.6465071404,91929.8684988183,t1d,126
811,59770.4503441762,92275.9773603416,t1d_e101,12
811,59770.4503441762,92275.9773603416,t1d,75
821,24525.6344394547,37840.7880509947,t1d,39
822,61141.0100591884,95065.4697300405,t1d_e101,19
822,61141.0100591884,95065.4697300405,t1d,112
831,89809.7961537639,142330.094981529,t1d_e101,28
831,89809.7961537639,142330.094981529,t1d,173
833,58288.8250986628,91766.0909676628,t1d_e101,13
833,58288.8250986628,91766.0909676628,t1d,98
832,176121.460673836,275862.773275612,t1d_e101,34
832,176121.460673836,275862.773275612,t1d,322
843,71893.1865159826,110770.388483666,t1d_e101,15
843,71893.1865159826,110770.388483666,t1d,156
841,38368.0432825013,60411.8744770857,t1d_e101,11
841,38368.0432825013,60411.8744770857,t1d,95
842,75210.2249944865,113654.168332498,t1d_e101,28
842,75210.2249944865,113654.168332498,t1d,244
853,64235.424642441,101345.034518928,t1d,113
852,109901.32367253,169532.000538666,t1d_e101,18
852,109901.32367253,169532.000538666,t1d,166
851,42347.6824497384,65452.9021590163,t1d_e101,13
851,42347.6824497384,65452.9021590163,t1d,94
862,17251.2101328844,26789.7369158796,t1d,18
863,104008.380124756,152072.430654592,t1d_e101,13
863,104008.380124756,152072.430654592,t1d,131
861,32870.056269764,49831.6130135402,t1d,47
872,98795.0855789761,148403.3242602,t1d_e101,16
872,98795.0855789761,148403.3242602,t1d,197
871,9161.09436996835,14509.3024698694,t1d,17
873,9880.93612739963,15698.4708451703,t1d,21
882,20790.4823151464,32321.0477135792,t1d,51
883,30458.0962005387,46956.9538865362,t1d_e101,14
883,30458.0962005387,46956.9538865362,t1d,72
881,58847.6154387912,90444.7050422195,t1d_e101,14
881,58847.6154387912,90444.7050422195,t1d,139
891,49281.9819328977,76644.900541978,t1d,125
892,10732.7549803572,16966.7580253653,t1d,25
893,42978.8745644925,65825.570061085,t1d_e101,14
893,42978.8745644925,65825.570061085,t1d,85
901,49352.3268315615,74478.682231475,t1d_e101,12
901,49352.3268315615,74478.682231475,t1d,85
911,48554.7978832207,73357.6828906457,t1d_e101,13
911,48554.7978832207,73357.6828906457,t1d,84
913,248436.602462618,377660.366729131,t1d_e101,52
913,248436.602462618,377660.366729131,t1d,552
912,223411.795939839,332194.816943653,t1d_e101,68
912,223411.795939839,332194.816943653,t1d,560
921,153210.033870324,239292.840068342,t1d_e101,30
921,153210.033870324,239292.840068342,t1d,268
922,355162.126702295,562214.378937073,t1d_e101,71
922,355162.126702295,562214.378937073,t1d,763
923,115537.541257223,186289.078811331,t1d_e101,15
923,115537.541257223,186289.078811331,t1d,183
933,200036.505948422,304122.03829676,t1d_e101,53
933,200036.505948422,304122.03829676,t1d,414
932,329067.799702245,493584.7253645,t1d_e101,95
932,329067.799702245,493584.7253645,t1d,784
931,179282.529617259,281449.07992681,t1d_e101,40
931,179282.529617259,281449.07992681,t1d,444
943,240071.12917097,362907.42953099,t1d_e101,62
943,240071.12917097,362907.42953099,t1d,502
941,128551.352246998,195462.546712657,t1d_e101,30
941,128551.352246998,195462.546712657,t1d,228
942,188945.81311598,298064.310786216,t1d_e101,37
942,188945.81311598,298064.310786216,t1d,323
953,144292.905950425,218158.844961884,t1d_e101,27
953,144292.905950425,218158.844961884,t1d,309
952,198746.90408051,295226.486279199,t1d_e101,65
952,198746.90408051,295226.486279199,t1d,496
951,169220.690293013,261692.818253525,t1d_e101,35
951,169220.690293013,261692.818253525,t1d,473
