,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
n_equip_a1,-0.7296032471516556,0.16576579075031328,0.025745970026703754,-0.2441664294868174,-0.06775389432592041,0.2877832202248051,-0.054929564913978046,-0.039328662236036115,0.01718379497146347,0.04905768302482772
n_equip_a2,-0.7175675259786515,0.3855693655923167,0.08647160654679044,-0.269622792299617,0.10222149461676697,0.2813875154844715,-0.0305048116704878,-0.1273417924728763,-0.00777093235092884,-0.05042639201711025
n_equip_a3,-0.543757102255667,0.31547887476438397,0.0881804620829439,0.3452217761724219,-0.13317690011505398,0.23822472548210963,0.1886240291304372,0.2836952949824764,0.002700637483523585,-0.09919169168786027
n_equip_a4,-0.10749224402428505,0.7257501616807396,0.11450359586475435,0.394470966271758,-0.0891515189495805,-0.023441071443236938,-0.1782530032828206,0.18627697511323363,-0.017088781760676842,0.16883441763879656
n_equip_a5,0.18437803452160895,0.7856421151939208,0.27177868891111495,0.18704173674838637,0.04216615206725259,-0.25742941712942236,-0.14168368564894926,-0.0341106945294509,0.16335227525731247,-0.10539056600637664
n_equip_b1,-0.55320713075649,0.20779078114822108,0.0405453755400712,-0.1828321309637396,0.1963045314994785,0.0004720229462056049,0.02888704972316051,-0.16848109518429757,0.2614179355932707,-0.0837975508267388
n_equip_b2,-0.3038980997524112,0.8456935809600111,0.20451014275728374,-0.04293412678218753,0.01750978606270245,-0.10617429993832764,-0.1358471826024485,-0.058183173761432144,0.05003997481458777,-0.006741857006079976
n_equip_b3,0.029075567651114125,0.6769595753486435,0.24154609144931988,-0.10126760982776059,0.14929124126700433,-0.329657613899099,0.04047994427010481,-0.08889699622012615,0.1596749696629985,-0.2525236587970236
n_equip_c1,-0.7509942971416611,0.1285281575415892,0.04290312549706444,-0.1551931922524048,-0.09475396467413508,0.2038103879947157,-0.04447041965292103,0.11743781639491568,-0.08090610597119519,0.030975230782675528
n_equip_c2,-0.5619736969906071,0.1817451551777813,-0.009103489090736801,-0.35926660447649506,0.035124482478285396,0.2775580923567304,-0.11337186905189918,0.01989952534261586,-0.08216122998697635,0.20362150731322654
n_equip_c3,-0.29091567333146146,0.10065468945619228,-0.04110272342779441,-0.2734801085531833,0.1717040153131676,0.07593629170952876,0.32834531067580036,-0.017736484859419296,-0.2331630338810899,0.021986574624668388
n_equip_c4,0.567547153190011,0.20088345953459458,-0.08962562708091422,-0.3305651415311351,0.23902207964860467,-0.022221063810617555,0.3300730298058834,-0.1891666821982665,-0.16260098205276077,-0.05599821658879829
n_equip_c5,0.5217244050354074,0.12672828928771587,-0.10752176825327153,-0.2764381193043453,0.11833447500513972,-0.15558492714553657,0.498481528689574,-0.16796740537244437,-0.22419138174430758,0.006350459723791913
n_equip_c6,0.2676839379905357,-0.012411595779085514,-0.15653214850178432,-0.2485252274051781,0.3467451959376586,-0.2294103896279126,0.40628901431302494,-0.07294452253829913,-0.32086960769373657,-0.1123894093456151
n_equip_c7,0.4823059463922497,0.08649770350587319,-0.14988722029972232,-0.2622259928985668,0.14672848424443918,-0.11322242887969916,0.36180515707765654,-0.17163512149003007,-0.1289702368916686,-0.027786318739067267
n_equip_d1,-0.523159680935703,0.36773423022890694,-0.019285535611838357,-0.3918790099219118,0.015991081662962498,0.057280840811128865,0.11561019563801657,-0.08800624633981081,-0.12803797098076966,0.1411515544273642
n_equip_d2,0.25257133318697433,0.6600494632965067,0.08926042181222872,0.24219416844559113,0.3224666111429291,-0.2522243685473275,0.16488910412543722,0.006344647893315258,0.07991606052703455,-0.023547300773088316
n_equip_d3,-0.4957778815880712,0.6194744030904229,-0.08282048999556275,-0.2899829186813253,0.07131054152381221,0.06486760601762848,-0.008403126124744921,-0.11324327921745668,0.09814388314071222,0.03585823857071663
n_equip_d4,-0.6138237799264936,0.36239367775213216,0.06958759012236365,-0.18407459221316952,0.23855922975991056,0.22369464691540858,-0.001502046326778019,-0.0562192863934958,-0.1588821730097418,0.006581994392678643
n_equip_d5,-0.24058627384213283,0.20491213830928517,0.0031257190800389914,-0.1338599514039302,-0.04814263977402457,-0.029017079630498353,-0.015104795119043243,0.07877380362904499,-0.2547467639710102,0.08053509813044803
n_equip_d6,-0.5030742437910417,0.19120045226539584,-0.017658928291808627,-0.19225623378971748,0.23540204971139564,0.11551981864838964,0.22977374283846896,-0.1490967212058948,-0.294180942758558,-0.011292810600108658
n_equip_d7,0.17820890574439122,0.07230229214436658,-0.042685931600915133,-0.39882484791983214,-0.09129976680156507,-0.21440614282046605,0.4190220730154391,-0.20553642174108433,-0.26841632960913125,0.0722661702032089
n_equip_e1,0.5191122254489058,0.1070802199630537,-0.0003584505960532597,-0.09151414340620138,-0.3887434985888758,0.020458475586804838,-0.3231712638274552,0.011290035631239028,-0.16325194900581502,0.4321063580985313
n_equip_f1,-0.7699457314070346,0.18686095095064686,0.0987688818521804,-0.18169351122089888,0.026652332715904867,0.045481871426039634,-0.05249649379594537,0.03305770849505084,-0.12147984880500547,-0.08603367372990964
n_equip_f2,-0.4890491272890796,0.5721058081145699,0.24618383466531385,-0.19241872422801817,-0.06128287711266617,-0.06154739082296624,-0.13340348534939478,0.0294181316353719,-0.16349648408164427,0.14742698171002755
n_equip_f3,-0.7052655937146222,0.37454498956209664,0.1200370540362649,-0.21999824871138976,-0.0006469883816883867,0.22527442591433286,-0.04144625060983042,-0.048749004561674074,-0.13797491715116228,0.04199006915515785
n_equip_g1,-0.3377233925090255,0.6682765087293221,0.34378144237451874,-0.21333492641571242,-0.02174213583360026,-0.2486972665610191,-0.23589443996490328,-0.01689332776062157,-0.011866579738046744,0.0003496379787477996
social_average_age,-0.622401145942943,0.32964865867076276,0.12082923777284932,-0.31188824349297123,-0.147041949814904,0.12280762095512256,-0.22695702816181343,-0.12855738420660137,-0.05478694726297337,-0.02537845891567825
mean_rent_m2,-0.5902854567063879,0.39522436852517917,0.1691894327188547,-0.2640995457861816,-0.14154445082337905,0.06890652280672797,-0.27539824203602487,-0.12528893557035595,-0.0851168017527926,0.014902107176475563
n_social,0.5923730793009009,-0.15770978664212346,-0.2723785916781844,-0.3272677731852165,-0.3505306321712611,-0.29523255756884387,0.08848363891643445,-0.16856444868525763,-0.025728902868838197,0.02259344580685294
social_houses,-0.1351515866914691,-0.30597986460249377,-0.4614094134243886,-0.15131613593276755,0.07907313990395265,-0.24292456097097592,-0.13187285368809384,-0.08553576929097713,0.03313239592001838,-0.22412923790480477
social_appartments,0.6750332099362463,-0.04121541277655086,-0.09833699972878102,-0.2814072617093135,-0.39907881863819505,-0.2107588634060041,0.14606536690453076,-0.14186592658792824,-0.040360892080346086,0.11443515209303794
cambriolages,0.7979821244003857,0.3263102176412596,-0.13286322691266997,0.14362748288969865,-0.0436356689711892,0.06628665467746479,-0.009213714921611013,-0.03584464059059005,0.05856026646663459,-0.02662124704692247
coups,0.7300325059774756,0.1694482898499754,-0.40394257097892444,-0.10514285334644194,-0.21406385874938888,-0.20346995376199942,0.010709946790135857,-0.0009170374791644108,0.0979694206044803,-0.01891834976881655
trafic,0.6133887518228021,0.2732649289580022,-0.1960544461999372,-0.13168178316450652,-0.18954154559448344,-0.03746193596185461,-0.04691143324102658,0.00762382012870786,-0.018118440824970855,0.18755503739453608
vols_av,0.6610680973325609,0.2985304166124214,-0.17227278286587672,-0.3448294432908378,-0.0380090039816196,0.18370273272222898,-0.10892789154845905,0.03065810785950068,0.03306983317586437,0.10320238609085096
vols_sv,0.7108121510279596,0.36773373246605057,-0.07344093726920256,-0.2806917254371001,0.07917451150711208,0.17543413709489397,-0.06416928369510741,-0.024898254278033737,0.09342734503659188,-0.021829524937194467
n_ape5630z,-0.4562331896910782,0.5816041791611093,0.12000186691917196,-0.32053447159490817,0.14430195329010875,-0.3121015564288106,-0.1942195817010595,-0.03620020521431218,-0.013131266862881902,-0.09169721605763667
